s,key,genre,type,sms,smb,scel,bfid,jbj,jguit,jmand,dbs,pguit,♫ex1,♫ex2,tab1,tab2,lesson,extra1,extra2,mtuning,ftuning,chord prog.,
Coleman's March,D,old time,march,y,y,,y,,,,,,the press gang,mando,,,flesson,clawhammer,old guys,,,,
Como Llora Una Estrella,Dm,venezuelan,,y,*,,,,,,,,,,,,,,,,,,
Concerto for Two Mandolins,G,baroque,concerto,,,,,,,,,,,live video,stand not,SN:Andante,,,,,,,
Connaughtman's Rambles,G,irish,jig,y,*,y,y,,,,,,harmonica+Cpt,,mando,,,,,,,,
Connie O'Connell's,G,irish,reel,,,,y,,,,,,,,,,kburke,,,,,,
Cooley's Reel,Em,irish,reel,,,~,y,,,,,,,,,,iwalsh,,,,,,
Cottage Groves,D,irish,reel,,,,y,,,,,,fiddle,,,,kburke,,,,,,
Cotton Patch Rag,C,,rag,y,,,*,,,,,,group,,,,,,,,,,
Cricket on the Hearth,D,bluegrass,reel,y,y,,y,,y,,,,baker,cello,fiddlers,sheet,,bryan sutton,,,,,
Cripple Creek,A,bluegrass,,y,y,,y,y,y,,,,grooveshark,,,,fiddle,,,,,,
Crossing the Shannon,,,,*,*,*,,,,,,,the press gang,,,,,,,,,,
Cuckoo's Nest,,,,,,,,,,,,,norman blake,,,,,,,,,,
Cumberland Mountain Deer Chase,,old time,,,,,,,,,,,dave macon,red clay ramblers,pete seeger,old guy,,,,,,,
Da Ship Fully Rigged,,scottish,reel,,,,y,,,,,,,,,,,,,,,,
Da Ship Newly Rigged,,scottish,jig,y,y,y,y,,,,,,abby newton,kids,,,,,,,,,
Da Slockit Light,,scottish,slow air,,,,y,,,,,,,,,,,,,,,,
Daley's Reel,Bb,bluegrass,reel,,~,,y,,y,,,,grooveshark,,,,,,,,,,
Dan Collins' Father's Jig,D,irish,jig,,,,y,,,,,,,,,,kburke,,,,,,
Dawg's Waltz,D,,,y,y,,,,,,,,,,,,,,,,,,
Devil's Dream,A,bluegrass,,y,y,y,y,,,y,,,,,,,fiddle,,,,,,
Diadem,Gm,,,y,*,,,,,,,,sam bush,,,,,,,,,,
Dick Gossip's Reel,,irish,reel,,,,y,,,,,,,,,,fiddle,,,,,,
Dixie Hoedown,G,bluegrass,,y,y,,y,,,,,,grooveshark,,,,,,,,,,
Donaldson Run,G,original,,y,y,,y,,y,,,,,,,,,,,,,,
Done Gone,Bb,bluegrass,,y,~,,~,,,,,,grooveshark,,,,fiddle,fingering,,,,,
Down to the River to Pray,D,bluegrass,hymn,y,y,,y,,,,,,,,,,,banjo,,ADAD,,,
"Drunk at Night, Dry in the Morning",,scottish,waltz,,,~,y,,,,,,ossian,newton,,,,,,,,,
Dry and Dusty,D,old time,,y,y,,y,,,,,,,,,,,,,,,,
Duck River,D,old time,reel,y,y,!,y,,y,,,,b. haas,ian walsh,,,haas,,,,,,
Durang's Hornpipe,D,irish,hornpipe,y,y,,y,,y,y,,,guitar,steffey,don stiernberg,,, NE fiddle,texas style,,,,
Dusty Miller,Am,bluegrass/old-time,,~,~,,*,,,,,,texas shorty,,,,,,,,,,
Earl's Chair,D,irish,reel,y,y,y,y,,,,,,fiddle1,group,mando/flute,,,info,grooveshark,,,,
East Tennessee Blues,C,bluegrass,,y,y,,y,,y,y,,,gs playlist,,guitar,,johnflesson,,,,,,
Egan's Polka/Kerry Polka,D,irish,polka,,,,y,,,,,,fiddle,,,,,,,,,,
Eighth of January,D,bluegrass,,y,y,y,y,,y,y,,,grooveshark,,,,johnflesson,,,,,,
El Morenito,D,venezuelan,,y,,,,,,,,,marshall/licht.,amazon,,,,,,,,,
Faded Love,?,country,two-step,,,,y,,,,,,fiddle,,,,flesson,,,,,,
Fanny Power,G,irish,,,,,y,,,,,,,,,,,,,,,,
Farewell to Trion,C,old time,,y,y,y,y,,,,,,james bryan,yt,mando,,,,learn in D?,,GCGD,,
Fiddler's Dram,D,old time,,*,*,,*,,y,y,,,group,mando,,,,,,,,,
Fiddler's Dream,G,bluegrass,,y,y,,*,,,,,,grooveshark,foghorn,spotify,,,,,,,,
Fine Times at Our House,A,old time,,,,,y,,,,,,,group,,,,,,,,,
Fire on the Mountain,A,bluegrass,,y,y,*,~,,,,,,walsh,,cafe,steffey's book,johnfiddle,,,,,,
Fireball Mail,G,bluegrass,,,,,,,,,,,flatt&scruggs,acuff,,,jflesson,,,,,,
Fisher's Hornpipe,D/A,bluegrass,hornpipe,y,~,,y,,y,y,,,reel fiddle,,,,,,,,,,
